Year,Date,Subregion,Habitat,SiteID,Site_name,StationID,Acropora_cervicornis,Acropora_palmata,Acropora_prolifera,Agaricia_fragilis,Agaricia_lamarcki,Cladocor_arbuscula,Colpophyllia_natans,Dendrogyra_cylindrus,Dichocoenia_stokesii,Diploria_labyrinthiformis,Eusmilia_fastigiata,Favia_fragum,Helioseris_cucullata,Isophyllia_rigida,Isophyllia_sinuosa,Madracis_aurentenra,Madracis_decactis,Madracis_pharensis,Madracis_scenaria,Madracis_sp,Manicina_areolata,Meandrina_meandrites,Millepora_complanata,Montastraea_cavernosa,Mussa_angulosa,Mycetophyllia_aliciae,Mycetophyllia_danaana,Mycetophyllia_ferox,Mycetophyllia_lamarckiana,Mycetophyllia_sp,Oculina_diffusa,Oculina_robusta,Orbicella_annularis_complex,Orbicella_faveolata,Orbicella_franksi,Phyllangia_americana,Porites_astreoides,Porites_branneri,Porites_porites,Pseudodiploria_clivosa,Pseudodiploria_strigosa,Scleractinia,Scolymia_cubensis,Scolymia_lacera,Siderastrea_radians,Siderastrea_siderea,Solenastrea_bournoni,Solenastrea_hyades,Stephanocoenia_intersepta,Undaria_agaricites_complex
2011,5/13/2011,MK,P,24,Thor,241,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,,0,24,0,8,0,1,0,0,0,0,21,0,0,13,2
2011,5/13/2011,MK,P,24,Thor,242,1,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,,,0,20,0,7,0,2,0,0,0,0,24,0,0,27,1
2011,5/17/2011,LK,P,25,Wonderland,251,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,1,0,0,0,10,,,0,6,0,2,0,2,0,0,0,0,32,0,0,5,2
2011,5/17/2011,LK,P,25,Wonderland,252,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,13,,,0,6,0,6,0,0,0,0,0,1,17,0,0,4,0
2011,7/14/2011,LK,P,26,Red Dun Reef,261,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,6,,,0,17,0,1,0,1,0,0,0,0,46,0,0,26,18
2011,7/14/2011,LK,P,26,Red Dun Reef,262,0,0,0,0,0,0,15,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,1,1,1,0,1,0,4,,,0,18,0,0,2,0,0,0,0,1,46,0,0,37,0
2011,6/15/2011,UK,P,30,Turtle,301,0,0,0,7,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,,,0,14,0,7,0,2,0,0,0,0,34,0,0,5,21
2011,6/15/2011,UK,P,30,Turtle,302,0,0,0,5,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,,,0,15,0,25,0,0,0,0,0,0,32,2,0,1,27
2011,6/15/2011,UK,P,30,Turtle,303,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,,,0,8,0,4,0,1,0,0,0,0,12,0,0,6,21
2011,6/15/2011,UK,P,30,Turtle,304,2,0,0,4,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,,,0,22,0,7,0,1,0,0,0,0,26,0,0,3,29
2011,6/8/2011,UK,P,32,Porter Patch,321,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,4,0,8,0,0,0,0,0,1,18,1,0,0,5
2011,6/8/2011,UK,P,32,Porter Patch,322,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,,0,8,0,7,0,1,0,0,0,0,13,1,0,0,6
2011,6/8/2011,UK,P,32,Porter Patch,323,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,8,0,6,0,0,0,0,0,0,10,0,0,0,1
2011,6/8/2011,UK,P,32,Porter Patch,324,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,4,0,11,0,0,0,0,0,0,14,0,0,0,11
2011,6/11/2011,UK,P,33,Admiral,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
2011,6/11/2011,UK,P,33,Admiral,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
2011,6/11/2011,UK,P,33,Admiral,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0
2011,6/11/2011,UK,P,33,Admiral,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
2011,5/18/2011,MK,P,34,West Turtle Shoal,341,0,0,0,0,0,0,10,0,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,4,,,0,10,0,5,0,0,0,0,0,0,56,0,0,28,7
2011,5/18/2011,MK,P,34,West Turtle Shoal,342,0,0,0,0,0,0,12,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,0,2,,,0,8,0,16,0,0,0,0,0,0,80,2,0,33,4
2011,5/18/2011,MK,P,34,West Turtle Shoal,343,0,0,0,0,0,0,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,13,2,1,0,0,1,0,0,0,2,,,0,6,0,15,0,1,0,0,0,0,49,0,0,19,7
2011,5/18/2011,MK,P,34,West Turtle Shoal,344,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,0,0,0,0,,,0,10,0,0,0,0,0,1,0,0,39,0,0,30,0
2011,5/13/2011,MK,P,35,Dustan Rocks,351,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,,,0,3,0,0,1,0,0,0,0,0,25,1,0,9,0
2011,5/13/2011,MK,P,35,Dustan Rocks,352,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,1,,,0,7,0,0,0,0,0,0,0,0,28,0,0,13,0
2011,5/13/2011,MK,P,35,Dustan Rocks,353,0,0,0,0,0,0,2,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,,,0,6,0,1,1,1,1,0,0,0,42,2,0,26,4
2011,5/13/2011,MK,P,35,Dustan Rocks,354,0,0,0,0,0,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,0,2,,,0,4,0,2,0,1,0,0,0,4,46,1,0,35,2
2011,7/20/2011,LK,P,36,West Washer Women,361,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,14,1,1,0,0,3,1,1,0,7,,,0,8,0,0,0,0,0,0,0,0,29,1,0,19,2
2011,7/21/2011,LK,P,36,West Washer Women,362,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,1,0,0,0,0,1,,,0,12,0,1,0,2,0,1,0,0,31,0,0,23,4
2011,7/21/2011,LK,P,36,West Washer Women,363,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,3,0,0,0,0,,,0,10,0,0,0,0,0,0,0,0,18,1,0,12,2
2011,7/21/2011,LK,P,36,West Washer Women,364,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,2,0,0,0,2,,,0,12,0,1,0,0,0,0,0,1,37,0,0,33,3
2011,7/19/2011,LK,P,37,Western Head,371,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,0,0,21,0,8,,,0,2,0,0,0,0,0,1,0,0,50,0,0,45,1
2011,7/19/2011,LK,P,37,Western Head,372,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,16,0,5,,,0,4,0,0,0,1,0,0,0,0,24,3,0,13,0
2011,7/19/2011,LK,P,37,Western Head,373,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,1,0,0,0,0,14,0,2,,,0,5,0,0,0,2,0,0,0,0,39,0,0,22,1
2011,7/19/2011,LK,P,37,Western Head,374,0,0,0,0,0,1,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,20,0,1,,,0,2,0,0,0,1,0,1,0,0,26,0,0,34,0
2011,7/20/2011,LK,P,38,Cliff Green,381,1,0,0,0,0,0,3,0,8,2,0,0,0,0,0,0,0,0,0,0,0,3,0,18,0,0,0,0,0,0,1,0,12,,,0,8,0,0,0,0,0,0,0,0,72,2,0,45,2
2011,7/20/2011,LK,P,38,Cliff Green,382,0,0,0,0,0,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,16,0,2,0,0,1,0,6,0,4,,,0,6,0,0,0,3,0,0,0,0,59,0,0,43,1
2011,7/20/2011,LK,P,38,Cliff Green,383,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,1,0,1,0,3,0,3,,,0,9,0,0,0,4,0,1,0,1,110,1,0,61,1
2011,7/20/2011,LK,P,38,Cliff Green,384,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,5,4,2,,,0,10,0,0,0,1,0,0,0,0,80,2,0,39,2
2011,7/19/2011,LK,BCP,39,Smith Shoal,391,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,,,0,54,0,2,0,0,0,0,0,0,11,0,0,4,15
2011,7/19/2011,LK,BCP,39,Smith Shoal,392,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,26,0,0,,,4,15,0,0,0,0,0,0,0,0,2,0,0,2,12
2011,7/19/2011,LK,BCP,39,Smith Shoal,393,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,27,0,0,,,0,36,0,0,0,0,0,0,0,0,0,0,0,0,33
2011,7/19/2011,LK,BCP,39,Smith Shoal,394,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,27,0,0,,,0,35,0,0,0,0,0,0,0,0,13,0,0,3,24
2011,7/14/2011,LK,P,40,Jaap Reef,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0
2011,7/14/2011,LK,P,40,Jaap Reef,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0
2011,7/14/2011,LK,P,40,Jaap Reef,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,0,2,0,1,3,0,0,0,0,0,1,0,0,1,0
2011,7/14/2011,LK,P,40,Jaap Reef,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2011,6/13/2011,UK,OS,50,Carysfort Shallow,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,51,0,0,0,0,0,0,0,0,2,0,0,0,8
2011,6/13/2011,UK,OS,50,Carysfort Shallow,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,43,0,0,0,0,0,0,0,0,0,0,0,0,2
2011,6/13/2011,UK,OS,50,Carysfort Shallow,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,,,0,26,0,2,0,0,0,0,0,0,2,0,0,0,5
2011,6/13/2011,UK,OS,50,Carysfort Shallow,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,45,0,1,0,0,0,0,0,0,0,0,0,0,20
2011,6/7/2011,UK,OS,51,Grecian Rocks,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0
2011,6/7/2011,UK,OS,51,Grecian Rocks,512,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,4,0,0,0,0,0,0,2,0,0,0,0
2011,6/7/2011,UK,OS,51,Grecian Rocks,513,0,0,0,1,0,0,2,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5,,,0,5,0,5,0,0,0,0,0,0,14,0,0,4,11
2011,6/7/2011,UK,OS,51,Grecian Rocks,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,28,0,20,0,0,0,0,0,0,6,0,0,1,20
2011,6/7/2011,UK,OS,52,Molasses Shallow,521,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,,,0,8,0,0,0,1,0,0,0,0,0,0,0,0,16
2011,6/7/2011,UK,OS,52,Molasses Shallow,522,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,3,0,1,0,0,0,0,0,0,6,0,0,0,32
2011,6/7/2011,UK,OS,52,Molasses Shallow,523,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,,,0,3,0,4,0,0,0,0,0,0,18,0,0,0,10
2011,6/8/2011,UK,OS,52,Molasses Shallow,524,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,0,4,0,0,0,0,0,0,0,0,9,0,0,0,19
2011,6/10/2011,UK,OS,53,Conch Shallow,531,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1
2011,6/9/2011,UK,OS,53,Conch Shallow,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,9,0,0,0,2
2011,6/10/2011,UK,OS,53,Conch Shallow,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,9,0,0,2,5
2011,6/10/2011,UK,OS,53,Conch Shallow,534,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,6,0,0,3,0
2011,6/14/2011,MK,OS,54,Alligator Shallow,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,3,0,0,0,0,0,0,6,0,0,0,7
2011,6/14/2011,MK,OS,54,Alligator Shallow,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1
2011,6/14/2011,MK,OS,54,Alligator Shallow,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,5,0,2,0,0,0,0,0,1,9,0,0,1,1
2011,6/14/2011,MK,OS,54,Alligator Shallow,544,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,8,0,3,0,0,0,0,0,1,7,0,0,0,0
2011,5/12/2011,MK,OS,55,Tennessee Shallow,551,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,3,0,1,0,2,0,0,0,1,0,0,0,1,0
2011,5/12/2011,MK,OS,55,Tennessee Shallow,552,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,5,0,1,0,0,0,0,0,0,3,0,0,1,0
2011,5/12/2011,MK,OS,55,Tennessee Shallow,553,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,4,0,4,0,0,0,0,0,0,4,0,0,1,0
2011,5/12/2011,MK,OS,55,Tennessee Shallow,554,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,14,0,8,1,0,0,0,0,0,5,0,0,2,0
2011,5/10/2011,MK,OS,56,Sombrero Shallow,561,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,,,0,3,0,4,1,0,0,0,0,0,13,0,0,0,1
2011,5/10/2011,MK,OS,56,Sombrero Shallow,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,0,0,0,0,0,15,0,0,0,2
2011,5/10/2011,MK,OS,56,Sombrero Shallow,563,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,,,0,3,0,3,0,2,0,0,0,0,9,0,0,0,1
2011,5/10/2011,MK,OS,56,Sombrero Shallow,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,8,0,0,0,1,0,0,0,0,1,0,0,0,22
2011,5/16/2011,LK,OS,57,Looe Key Shallow,571,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,,,0,16,0,4,0,0,0,0,0,0,14,0,0,4,15
2011,5/16/2011,LK,OS,57,Looe Key Shallow,572,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,0,5,0,5,0,0,0,0,0,0,12,0,0,3,0
2011,5/16/2011,LK,OS,57,Looe Key Shallow,573,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,5,,,0,7,0,5,0,0,0,0,0,0,13,0,0,1,3
2011,5/16/2011,LK,OS,57,Looe Key Shallow,574,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,,,0,4,0,1,0,1,0,0,0,0,16,0,0,2,3
2011,7/16/2011,LK,OS,58,Eastern Sambo Shallow,581,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0,89,0,3,0,0,0,0,0,0,1,0,0,0,0
2011,7/16/2011,LK,OS,58,Eastern Sambo Shallow,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,59,0,1,0,0,0,0,0,0,3,0,0,0,5
2011,7/16/2011,LK,OS,58,Eastern Sambo Shallow,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,0,45,0,1,0,0,0,0,0,0,1,0,0,0,5
2011,7/16/2011,LK,OS,58,Eastern Sambo Shallow,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,,0,83,0,3,0,0,0,0,0,0,3,0,0,0,3
2011,7/18/2011,LK,OS,59,Western Sambo Shallow,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,14,0,2,0,0,0,0,0,0,7,0,0,0,5
2011,7/18/2011,LK,OS,59,Western Sambo Shallow,592,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,,,0,23,0,1,0,0,0,0,0,2,11,0,0,2,42
2011,7/18/2011,LK,OS,59,Western Sambo Shallow,593,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,0,17,0,0,0,0,0,0,0,0,5,0,0,0,8
2011,7/18/2011,LK,OS,59,Western Sambo Shallow,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,,,0,60,0,1,0,0,0,0,0,1,10,0,0,0,22
2011,7/15/2011,LK,OS,60,Rock Key Shallow,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0
2011,7/15/2011,LK,OS,60,Rock Key Shallow,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,3,0,6,1,0,0,0,0,2,4,0,0,1,3
2011,7/15/2011,LK,OS,60,Rock Key Shallow,603,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,0,5,0,10,0,0,0,0,0,0,2,0,0,0,2
2011,7/15/2011,LK,OS,60,Rock Key Shallow,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,,,0,107,0,2,0,0,0,0,0,0,2,0,0,0,31
2011,7/15/2011,LK,OS,61,Sand Key Shallow,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,,0,8,0,3,0,1,0,0,0,0,3,0,0,1,7
